Year,Song Count,Film,Song,Composer,Note
2015,1,Enakkul Oruvan,Poo Avizhum Pozhudhil,Santhosh Narayanan,Best Lyrics Writer - 2nd Behindwoods Gold Medals 2015
2015,2,Enakkul Oruvan,Yaar En Manama,Santhosh Narayanan,
,,,,,
2015,3,36 Vayadhinile,Vaadi Raasathi,,Best Lyricist of the year - Mirchi Music Awards South 2015
2015,4,36 Vayadhinile,Pogiren,,
2015,5,36 Vayadhinile,Happy,,
,,,,,
2015,6,Indru Netru Naalai,Kadhale Kadhale,Hiphop Tamizha,
,,,,,
2015,7,Mathura Naranga,Kan Kangalil,Sreejith Saachin,
2015,8,Mathura Naranga,Neer Alaigalil,Sreejith Saachin,
2015,9,Mathura Naranga,Eee Kootil (Nee Vaanam),Sreejith Saachin,
,,,,,
2016,10,Irudhi Suttru,Hey Sandakaara,Santhosh Narayanan,
2016,11,Irudhi Suttru,Vaangaji Warning,Santhosh Narayanan,
2016,12,Irudhi Suttru,Usuru Narambula,Santhosh Narayanan,
2016,13,Irudhi Suttru,Kaalathi Miratti,Santhosh Narayanan,
2016,14,Irudhi Suttru,Poda Poda,Santhosh Narayanan,
, ,,,,
2016,15,Iraivi,Ghost Bottle,,
2016,16,Iraivi,Kalavara Kangal,,
2016,17,Iraivi,Manidhi,,
2016,18,Iraivi,Kaatril,,
2016,19,Iraivi,Thodaamal,,
, ,,,,
2016,20,144,Kenatha Kaanam,Sean Roldan,
2016,21,144,Aagaa,Sean Roldan,
, ,,,,
2016,22,Aranmanai 2,Maya Maya,Hiphop Tamizha,
, ,,,,
2016,23,Jil Jung Juk,Shoot The Kuruvi,Vishal Chandrasekhar,
2016,24,Jil Jung Juk,Cassenova,Vishal Chandrasekhar,
2016,25,Jil Jung Juk,Domaru Lord,Vishal Chandrasekhar,
2016,26,Jil Jung Juk,Milano Kedi,Vishal Chandrasekhar,
, ,,,,
2016,27,Unakkul Naan,Athiran Nadaiyil,Tony Britto,
2016,28,Ka Ka Ka,Aabathin Arikuri: Sila Sil Sila,Amrith,
2016,29,Oru Naal Koothu,Adiye Azhagu,Justin Prabhakaran,
2016,30,Maalai Nerathu Mayakkam,Ennodu Irupuram,Amrith,
, ,,,,
2016,31,Manithan,Azhagazhaga,Santhosh Narayanan,
2016,32,Manithan,Poi Vazhva,Santhosh Narayanan,
2016,33,Manithan,Kaaychal,Santhosh Narayanan,
, ,,,,
2016,34,Pokkiri Raja,Athuvitta Athuvitta,D. Imman,
2016,35,Pokkiri Raja,Bubbly Bubbly,D. Imman,
2016,36,Pokkiri Raja,Rain Rain,D. Imman,
2016,37,Pokkiri Raja,Athuvitta Remix,D. Imman,
, ,,,,
2016,38,Kabali,Thalaivar Athiradi Rap,Santhosh Narayanan,
2016,39,Merku Thodarchi Malai,Merku Mak,Illayaraja,
, ,,,,
2016,40,Kadhalum Kadandhu Pogum,Paravai Paranduchu,Santhosh Narayanan,
2016,41,Kadhalum Kadandhu Pogum,Bongu Kitchan,Santhosh Narayanan,
, ,,,,
2016,42,Sei,Machaney,Nithin Lopez,
2016,43,Dhuruvangal Pathinaaru,Uthira Kaayangal,Jakes Bejoy,
2016,44,Meow,Oru Cute Littile Ponnu,Sreejith Edarana,
2016,45,Ulkuthu,Pesayum Esaya,Justin Prabhakaran,
2016,46,Remo,Meesa Beauty,Anirudh Ravichander,
, ,,,,
2016,47,Aandavan Kattalai,Polambing,K,
2016,48,Aandavan Kattalai,Imsai Raani,K,
2016,49,Aandavan Kattalai,Vaazhkai Oru Ottagam,K,
, ,,,,
2016,50,Kodi,Ei Suzhali,Santhosh Narayanan,
2016,51,Kodi,Sirukki Vaasam,Santhosh Narayanan,
2016,52,Kodi,Vettu Pottu,Santhosh Narayanan,
2016,53,Kodi,Ariraro,Santhosh Narayanan,
, ,,,,
2016,54,Rum,Peiyophobilia,Anirudh Ravichander,
2016,55,Rum,Kadavulae Vidai,Anirudh Ravichander,
2016,56,Rum,Kadavulae Vidai (Reprise),Anirudh Ravichander,
2016,57,Rum,Pori Pathi Vizhum,Anirudh Ravichander,
2016,58,Rum,Alladhe Siragiye,Anirudh Ravichander,
, ,,,,
2017,59,Sathriyan,Sooda Oru Sooriyan,Yuvan Shankar Raja,
, ,,,,
