,Year,Film,Songs in each movie,Composer,Note
1,2015,Enakkul Oruvan,2,Santhosh Narayanan,Best Lyrics Writer - 2nd Behindwoods Gold Medals 2015
2,2015,36 Vayadhinile,3,,Best Lyricist of the year - Mirchi Music Awards South 2015
3,2015,Indru Netru Naalai,1,Hiphop Tamizha,
4,2015,Mathura Naranga,3,Sreejith Saachin,
,,,,,
5,2016,Irudhi Suttru,5,Santhosh Narayanan,
6,2016,Iraivi,5,,
7,2016,144,2,Sean Roldan,
8,2016,Aranmanai 2,1,Hiphop Tamizha,
9,2016,Jil Jung Juk,4,Vishal Chandrasekhar,
10,2016,Unakkul Naan,1,Tony Britto,
11,2016,Ka Ka Ka,1,Amrith,
12,2016,Oru Naal Koothu,1,Justin Prabhakaran,
13,2016,Maalai Nerathu Mayakkam,1,Amrith,
14,2016,Manithan,3,Santhosh Narayanan,
15,2016,Pokkiri Raja,4,D. Imman,
16,2016,Kabali,1,Santhosh Narayanan,
17,2016,Merku Thodarchi Malai,1,Illayaraja,
18,2016,Kadhalum Kadandhu Pogum,2,Santhosh Narayanan,
19,2016,Sei,1,Nithin Lopez,
20,2016,Dhuruvangal Pathinaaru,1,Jakes Bejoy,
21,2016,Meow,1,Sreejith Edarana,
22,2016,Ulkuthu,1,Justin Prabhakaran,
23,2016,Remo,1,Anirudh Ravichander,
24,2016,Aandavan Kattalai,3,K,
25,2016,Kodi,4,Santhosh Narayanan,
26,2016,Rum,5,Anirudh Ravichander,
,,,,,
27,2017,Sathriyan,1,Yuvan Shankar Raja,
28,2017,Ivan Thanthiran,2,Thaman S,
29,2017,Mersal,5,A. R. Rahman,
30,2017,Velaikkaran,1,Anirudh Ravichander,
31,2017,Meyaadha Maan,4,Santhosh Narayanan,
32,2017,Theeran Adhigaaram Ondru,1,Ghibran,
,,,,,
33,2018,Sketch,2,Thaman S,
34,2018,Bhaagamathie,1,,
35,2018,Sarkar,5,A. R. Rahman,
36,2018,Irumbu Thirai,3,Yuvan Shankar Raja,
37,2018,Kolamavu Kokila,1,Anirudh Ravichander,
38,2018,Pyaar Prema Kaadhal,1,Yuvan Shankar Raja,
39,2018,60 Vayadu Maaniram,1,Ilaiyaraaja,
40,2018,Pariyerum Perumal,3,Santhosh Narayanan,
41,2018,Kaali,1,Vijay Antony,
42,2018,Vada Chennai,2,Santhosh Narayanan,
,,,,,
43,2019,Petta,3,Anirudh Ravichander,
44,2019,Dev,1,Harris Jayaraj,
45,2019,Boomerang,3,Radhan,
46,2019,Devarattam,2,Nivas K. Prasanna,
47,2019,Oththa Seruppu Size 7,1,Santhosh Narayanan,
48,2019,Jackpot,1,Vishal Chandrasekhar,
49,2019,Ayogya,1,Sam C.S.,
50,2019,Sindhubaadh,1,Yuvan Shankar Raja,
51,2019,Bigil,6,A. R. Rahman,
52,2019,Frozen 2 (Tamil),7,Robert Lopez Kristen Anderson-Lopez,
53,2019,Adithya Varma,1,Radhan,
54,2019,Thambi,1,Govind Vasantha,
,,,,,
55,2020,Darbar,3,Anirudh Ravichander,
56,2020,Pattas,2,Vivek-Mervin,
57,2020,Soorarai Pottru,1,G.V. Prakash Kumar,
58,2020,Ponmagal Vandhal,2,Govind Vasantha,
59,2020,Penguin,2,Santhosh Narayanan,
60,2020,Jagame Thandhiram,3,,
61,2020,99 Songs,2,A. R. Rahman,
62,2020,Vasantha Mullai,1,Rajesh Murugesan,
63,2020,Sabhaapathy,1,Sam C.S.,
,,,,,
64,2021,Annabelle Sethupathi,2,Krishna Kishore,
65,2021,Oh Manapenne!,1,Vishal Chandrashekhar,
66,2021,Enemy,1,Thaman S,
67,2021,Galatta Kalyanam,1,A. R. Rahman,
68,2021,Anbarivu,1,Hiphop Tamizha,
,,,,,
69,2022,Naai Sekar,1,Ajesh,
70,2022,Maaran,2,G.V. Prakash Kumar,
71,2022,Mahaan,4,Santhosh Narayanan,
72,2022,Veeramae Vaagai Soodum,1,Yuvan Shankar Raja,
73,2022,Beast,1,Anirudh Ravichander,
74,2022,Ranga,1,Ramjeevan,
75,2022,Ayngaran,1,G. Vignesh,
76,2022,Andhagan,2,Santhosh Narayanan,
77,2022,Don,2,Anirudh Ravichander,
78,2022,Bestie,1,J. V.,
79,2022,Anel Meley Pani Thuli,1,Santhosh Narayanan,
80,2022,Paper Rocket,1,Dharan Kumar,
81,2022,Gulu Gulu,1,Santhosh Narayanan,
82,2022,Thiruchitrambalam,1,Anirudh Ravichander,
83,2022,Paramporul,1,Yuvan Shankar Raja,
84,2022,Cobra,1,A. R. Rahman,
85,2022,Prince,1,Thaman S,
86,2022,Singappenney,1,Kumaran Sivamani,
87,2022,Naane Varuvean,1,Yuvan Shankar Raja,
88,2022,Naai Sekar Returns,1,Santhosh Narayanan,
89,2022,Gatta Kusthi,1,Justin Prabhakaran,
90,2022,Sanda Veerachi,1,Yuvan Shankar Raja,Best Lyricist - 14th Ananda Vikatan Cinema Awards 2022
91,2022,Varisu,5,Thaman S,
,,,,,
92,2023,Kick,1,Arjun Janya,
93,2023,Dasara,2,Santhosh Narayanan,
94,2023,Theerkadarishi,1,G. Balasubramanian,
95,2023,Agilan,1,Sam CS,
96,2023,Pathu Thala,2,A. R. Rahman,
97,2023,Veeran,1,Hiphop Tamizha,
98,2023,Regina,1,Sathish Nair,
99,2023,Jawan (Tamil),5,Anirudh Ravichander,
100,2023,Iraivan,5,Yuvan Shankar Raja,
101,2023,Chithha,1,Santhosh Narayanan,
102,2023,Chandramukhi 2,1,M. M. Keeravani,
103,2023,Miss Shetty Mr Polishetty (Tamil),4,Radhan,
104,2023,Jigarthanda DoubleX,2,Santhosh Narayanan,
