Year,படம்,பாடல்,இசையமைப்பாளர்,Note
2015,எனக்குள் ஒருவன்,பூ அவிழும் பொழுதில்,சந்தோஷ் நாராயணன்,Best Lyrics Writer - 2nd Behindwoods Gold Medals 2015
2015,எனக்குள் ஒருவன்,Yaar En Manama,சந்தோஷ் நாராயணன்,
,,,,
2015,36 வயதினிலே,Vaadi Raasathi,,Best Lyricist of the year - Mirchi Music Awards South 2015
2015,36 வயதினிலே,Pogiren,,
2015,36 வயதினிலே,Happy,,
,,,,
2015,இன்று நேற்று நாளை,Kadhale Kadhale,ஹிப்ஹாப் தமிழா,
,,,,
2015,மதுர நரங்கா,Kan Kangalil,ஸ்ரீஜித் சச்சின்,
2015,மதுர நரங்கா,Neer Alaigalil,ஸ்ரீஜித் சச்சின்,
2015,மதுர நரங்கா,Eee Kootil (Nee Vaanam),ஸ்ரீஜித் சச்சின்,
,,,,
2016,இறுதி சுற்று,Hey Sandakaara,சந்தோஷ் நாராயணன்,
2016,இறுதி சுற்று,Vaangaji Warning,சந்தோஷ் நாராயணன்,
2016,இறுதி சுற்று,Usuru Narambula,சந்தோஷ் நாராயணன்,
2016,இறுதி சுற்று,Kaalathi Miratti,சந்தோஷ் நாராயணன்,
2016,இறுதி சுற்று,Poda Poda,சந்தோஷ் நாராயணன்,
,,,,
2016,இறைவி,Ghost Bottle,,
2016,இறைவி,Kalavara Kangal,,
2016,இறைவி,Manidhi,,
2016,இறைவி,Kaatril,,
2016,இறைவி,Thodaamal,,
,,,,
2016,144,Kenatha Kaanam,Sean Roldan,
2016,144,Aagaa,Sean Roldan,
,,,,
2016,அரண்மனை 2,Maya Maya,ஹிப்ஹாப் தமிழா,
,,,,
2016,ஜில் ஜங் ஜக்,Shoot The Kuruvi,விஷால் சந்திரசேகர்,
2016,ஜில் ஜங் ஜக்,Cassenova,விஷால் சந்திரசேகர்,
2016,ஜில் ஜங் ஜக்,Domaru Lord,விஷால் சந்திரசேகர்,
2016,ஜில் ஜங் ஜக்,Milano Kedi,விஷால் சந்திரசேகர்,
,,,,
2016,உனக்குள் நான்,Athiran Nadaiyil,டோனி பிரிட்டோ,
2016,Ka Ka Ka,Aabathin Arikuri: Sila Sil Sila,Amrith,
2016,Oru Naal Koothu,Adiye Azhagu,Justin Prabhakaran,
2016,Maalai Nerathu Mayakkam,Ennodu Irupuram,Amrith,
,,,,
2016,Manithan,Azhagazhaga,சந்தோஷ் நாராயணன்,
2016,Manithan,Poi Vazhva,சந்தோஷ் நாராயணன்,
2016,Manithan,Kaaychal,சந்தோஷ் நாராயணன்,
,,,,
2016,Pokkiri Raja,Athuvitta Athuvitta,D. Imman,
2016,Pokkiri Raja,Bubbly Bubbly,D. Imman,
2016,Pokkiri Raja,Rain Rain,D. Imman,
2016,Pokkiri Raja,Athuvitta Remix,D. Imman,
,,,,
2016,Kabali,Thalaivar Athiradi Rap,சந்தோஷ் நாராயணன்,
2016,Merku Thodarchi Malai,Merku Mak,இளையராஜா,
,,,,
2016,Kadhalum Kadandhu Pogum,Paravai Paranduchu,சந்தோஷ் நாராயணன்,
2016,Kadhalum Kadandhu Pogum,Bongu Kitchan,சந்தோஷ் நாராயணன்,
,,,,
2016,Sei,Machaney,Nithin Lopez,
2016,Dhuruvangal Pathinaaru,Uthira Kaayangal,Jakes Bejoy,
2016,Meow,Oru Cute Littile Ponnu,Sreejith Edarana,
2016,Ulkuthu,Pesayum Esaya,Justin Prabhakaran,
2016,Remo,Meesa Beauty,அனிருத் ரவிச்சந்தர்,
,,,,
2016,Aandavan Kattalai,Polambing,K,
2016,Aandavan Kattalai,Imsai Raani,K,
2016,Aandavan Kattalai,Vaazhkai Oru Ottagam,K,
,,,,
2016,Kodi,Ei Suzhali,சந்தோஷ் நாராயணன்,
2016,Kodi,Sirukki Vaasam,சந்தோஷ் நாராயணன்,
2016,Kodi,Vettu Pottu,சந்தோஷ் நாராயணன்,
2016,Kodi,Ariraro,சந்தோஷ் நாராயணன்,
,,,,
2016,Rum,Peiyophobilia,அனிருத் ரவிச்சந்தர்,
2016,Rum,Kadavulae Vidai,அனிருத் ரவிச்சந்தர்,
2016,Rum,Kadavulae Vidai (Reprise),அனிருத் ரவிச்சந்தர்,
2016,Rum,Pori Pathi Vizhum,அனிருத் ரவிச்சந்தர்,
2016,Rum,Alladhe Siragiye,அனிருத் ரவிச்சந்தர்,
,,,,
2017,Sathriyan,Sooda Oru Sooriyan,யுவன் சங்கர் ராஜா,
,,,,
2017,Ivan Thanthiran,Ivan Ivan thanthiran,தமன் எஸ்,
2017,Ivan Thanthiran,Medhakavitta Medhakavitta,தமன் எஸ்,
,,,,
2017,மெர்சல்,Aalaporaan Thamizhan,ஏ. ஆர். ரஹ்மான்,Best Lyricist - 7th South Indian International Movie Awards 2018
2017,மெர்சல்,Neethanae,ஏ. ஆர். ரஹ்மான்,
2017,மெர்சல்,Mersal Arasan,ஏ. ஆர். ரஹ்மான்,
2017,மெர்சல்,Maacho,ஏ. ஆர். ரஹ்மான்,
2017,மெர்சல்,Maayon,ஏ. ஆர். ரஹ்மான்,
,,,,
2017,Velaikkaran,Vaa Velikkara,அனிருத் ரவிச்சந்தர்,
,,,,
2017,Meyaadha Maan,Thangachi Song,சந்தோஷ் நாராயணன்,
2017,Meyaadha Maan,Address Song,சந்தோஷ் நாராயணன்,
2017,Meyaadha Maan,Rathina Katti,சந்தோஷ் நாராயணன்,
2017,Meyaadha Maan,Megamo Aval,சந்தோஷ் நாராயணன்,
,,,,
2017,Theeran Adhigaaram Ondru,Theeran Da,ஜிப்ரான்,
,,,,
2018,Sketch,Cheeni Chillaallee,தமன் எஸ்,
2018,Sketch,Dhaadikaara,தமன் எஸ்,
,,,,
2018,Bhaagamathie,Mandhaara,,
,,,,
2018,சர்கார்,Simtaangaran,ஏ. ஆர். ரஹ்மான்,
2018,சர்கார்,Oruviral Puratchi,ஏ. ஆர். ரஹ்மான்,
2018,சர்கார்,OMG Ponnu,ஏ. ஆர். ரஹ்மான்,
2018,சர்கார்,CEO In The House,ஏ. ஆர். ரஹ்மான்,
2018,சர்கார்,TopTucker,ஏ. ஆர். ரஹ்மான்,
,,,,
2018,இரும்பு திரை,Azhagae,யுவன் சங்கர் ராஜா,
2018,இரும்பு திரை,Athiradi,யுவன் சங்கர் ராஜா,
2018,இரும்பு திரை,Mudhal Mazhai,யுவன் சங்கர் ராஜா,
,,,,
2018,Kolamavu Kokila,Edhuvaraiyo,அனிருத் ரவிச்சந்தர்,
2018,ப்யார் ப்ரேமா காதல்,Hold Me Now,யுவன் சங்கர் ராஜா,
2018,60 Vayadu Maaniram,Naalum Naalum,Ilaiyaraaja,
,,,,
2018,Pariyerum Perumal,Karuppi,சந்தோஷ் நாராயணன்,
2018,Pariyerum Perumal,Potta Kaatil Poovasam,சந்தோஷ் நாராயணன்,
2018,Pariyerum Perumal,Vaa Rayil Vida Polaama,சந்தோஷ் நாராயணன்,
,,,,
2018,Kaali,Arumbey Arumbey,விஜய் ஆண்டனி ,
,,,,
2018,Vada Chennai,Ennadi Maayavi Nee,சந்தோஷ் நாராயணன்,
2018,Vada Chennai,Kaarkuzhal Kadavaiye,சந்தோஷ் நாராயணன்,
,,,,
